Reading No,Time,Type,Duration,Units,Sigma Value,Flags,Sample,Mo,Mo Error,Mo CPS/ua,Zr,Zr Error,Zr CPS/ua,Sr,Sr Error,Sr CPS/ua,U,U Error,U CPS/ua,Rb,Rb Error,Rb CPS/ua,Th,Th Error,Th CPS/ua,Pb,Pb Error,Pb CPS/ua,Au,Au Error,Au CPS/ua,Se,Se Error,Se CPS/ua,As,As Error,As CPS/ua,Hg,Hg Error,Hg CPS/ua,Zn,Zn Error,Zn CPS/ua,W,W Error,W CPS/ua,Cu,Cu Error,Cu CPS/ua,Ni,Ni Error,Ni CPS/ua,Co,Co Error,Co CPS/ua,Fe,Fe Error,Fe CPS/ua,Mn,Mn Error,Mn CPS/ua,Cr,Cr Error,Cr CPS/ua,V,V Error,V CPS/ua,Ti,Ti Error,Ti CPS/ua,Sc,Sc Error,Sc CPS/ua,Ca,Ca Error,Ca CPS/ua,K,K Error,K CPS/ua,S,S Error,S CPS/ua,Ba,Ba Error,Ba CPS/ua,Cs,Cs Error,Cs CPS/ua,Te,Te Error,Te CPS/ua,Sb,Sb Error,Sb CPS/ua,Sn,Sn Error,Sn CPS/ua,Cd,Cd Error,Cd CPS/ua,Ag,Ag Error,Ag CPS/ua,Pd,Pd Error,Pd CPS/ua,Ce,Ce Error,Ce CPS/ua,La,La Error,La CPS/ua,Bal,Bal Error,Bal CPS/ua,Nb,Nb Error,Nb CPS/ua,Y,Y Error,Y CPS/ua,Bi,Bi Error,Bi CPS/ua,Re,Re Error,Re CPS/ua,Ta,Ta Error,Ta CPS/ua,Hf,Hf Error,Hf CPS/ua,Al,Al Error,Al CPS/ua,P,P Error,P CPS/ua,Si,Si Error,Si CPS/ua,Cl,Cl Error,Cl CPS/ua,Mg,Mg Error,Mg CPS/ua
23,8/28/2017 17:28,TestAll Geo,300.28,ppm,2,-8mm ,H095,3.44,1.58,0,350.26,3.76,0,101.01,2.19,0,4.93,2.81,0,76.79,2.31,0,11.63,1.91,0,24.36,3.04,0,<LOD,4.11,0,<LOD,2.38,0,6.56,2.44,0,<LOD,6.92,0,42.21,4.88,0,<LOD,15.6,0,32.62,7.65,0,57.39,9.41,0,<LOD,69.58,0,23931.33,179.54,0,203.97,30.76,0,169.29,9.38,0,198.9,21.52,0,10192.41,222.13,0,<LOD,3.79,0,5978.36,84.48,0,10356.7,173.87,0,63.46,11.62,0,405.12,16.82,0,10.52,0.8,0,55.55,11.78,0,9.99,3.5,0,2.11,0.89,0,<LOD,6.28,0,<LOD,4.27,0,<LOD,5.3,0,239.05,57.95,0,191.19,27.4,0,511898.13,1514.91,0,42.45,2.02,0,29.29,1.78,0,<LOD,76.98,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,98107.3,1678.63,0,547.7,75.24,0,336995.34,1166.52,0,<LOD,10.29,0,<LOD,6155.73,0
74,8/29/2017 17:10,TestAll Geo,302.26,ppm,2,-8mm ,H095,5.04,1.63,0,345.92,3.84,0,103.16,2.27,0,4.62,2.85,0,72.97,2.31,0,10.4,1.92,0,22.89,3.07,0,<LOD,4.15,0,<LOD,2.43,0,4.49,2.42,0,<LOD,6.98,0,39.15,4.9,0,<LOD,15.76,0,19.34,7.61,0,43.88,9.58,0,99.33,50.08,0,26002.22,191.04,0,204.44,31.96,0,176.25,9.17,0,169.37,20.53,0,10013.16,224.52,0,<LOD,4.06,0,7323.86,90.38,0,8434.69,122.2,0,144.13,12.57,0,489.28,18.27,0,13.14,0.86,0,100.71,12.86,0,17.51,3.8,0,3.36,0.96,0,12.9,4.6,0,7.19,3.09,0,<LOD,5.71,0,153.91,60.51,0,177.23,28.79,0,511406.03,1580,0,42.09,2.06,0,29.03,1.8,0,<LOD,77.95,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,95025.15,1306.44,0,819.02,75.49,0,331204.75,1160.79,0,<LOD,11.05,0,6772.87,2643.95,0
24,8/28/2017 17:47,TestAll Geo,301.21,ppm,2,-8mm ,H100,3.54,1.52,0,156.8,3.16,0,490.38,4.75,0,5.45,3.39,0,103.39,2.75,0,7.61,1.92,0,18.52,2.98,0,4.7,3,0,<LOD,2.53,0,24.99,2.83,0,5.94,2.96,0,75.75,5.92,0,<LOD,16.32,0,34.34,8.16,0,46.28,9.86,0,<LOD,84.12,0,31439.94,215.18,0,560.96,39.1,0,132.89,22.75,0,111.35,17.48,0,3123.67,58.77,0,29.44,9.22,0,69979.55,373.29,0,18651.13,244.37,0,209.16,15.45,0,861.85,21.12,0,14.11,0.91,0,96.88,13.6,0,20.07,4.05,0,4.31,1.03,0,13.68,4.88,0,6.53,3.27,0,<LOD,6.25,0,137.88,62.61,0,172.4,29.82,0,548101.75,1457.25,0,10.61,1.78,0,22.03,1.8,0,<LOD,78.3,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,71973.2,1304.19,0,1577.95,80.32,0,243079.81,956.39,0,<LOD,12.31,0,8226.27,3564.01,0
75,8/29/2017 17:18,TestAll Geo,300.8,ppm,2,-8mm ,H100,3.3,1.55,0,184.06,3.32,0,482.04,4.73,0,9.1,3.46,0,102.49,2.76,0,8.23,1.96,0,24.29,3.2,0,5.58,3.05,0,<LOD,2.57,0,17.54,2.8,0,8.4,3.02,0,75.6,5.93,0,<LOD,16.38,0,35.17,8.22,0,60.89,10.08,0,<LOD,82.59,0,30232.54,210.89,0,530.3,38.63,0,126.62,22.58,0,95.97,17.34,0,3335.78,59.13,0,25.49,9.13,0,70795.19,372.26,0,19211.71,242.95,0,214.86,15.86,0,927.01,21.25,0,15.88,0.91,0,105.03,13.56,0,20.64,4.02,0,4.61,1.03,0,9.84,4.8,0,7.44,3.26,0,<LOD,6.17,0,217.28,62.94,0,185.99,29.83,0,504640.59,1596.29,0,11.96,1.81,0,19.89,1.78,0,<LOD,79.61,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,81436.74,1503.66,0,1925.32,87.23,0,264820.84,994.4,0,<LOD,12.84,0,19699.6,4017.09,0
25,8/28/2017 18:00,TestAll Geo,300.4,ppm,2,-8mm ,H102,<LOD,2.22,0,107.9,2.75,0,334.84,4.02,0,5.78,3.32,0,97.69,2.72,0,8.56,1.95,0,16.03,2.92,0,<LOD,4.46,0,<LOD,2.57,0,8.41,2.43,0,<LOD,7.64,0,85.32,6.28,0,<LOD,17.25,0,48.12,8.89,0,81.37,10.71,0,<LOD,84.54,0,30512.76,216.9,0,730.9,42.69,0,67.14,8.47,0,82.02,14.62,0,2545.66,50.77,0,47.47,10.89,0,108686.97,508.05,0,19351.8,253.81,0,753.86,22.69,0,698.52,21.78,0,17.8,0.99,0,122.39,14.77,0,24.67,4.39,0,5.25,1.11,0,16.92,5.28,0,6.31,3.5,0,8.26,4.58,0,239.87,66.89,0,203.92,31.74,0,493886.19,1631.4,0,9.49,1.79,0,15.53,1.72,0,<LOD,78.95,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,72868.88,1614.42,0,417.05,86.52,0,244121.03,983.14,0,<LOD,14.71,0,23001.5,4990.6,0
76,8/29/2017 17:25,TestAll Geo,300.17,ppm,2,-8mm ,H102,<LOD,2.4,0,108.81,2.98,0,347.6,4.41,0,5.69,3.6,0,100.27,2.96,0,4.73,1.99,0,17.9,3.23,0,<LOD,4.95,0,<LOD,2.85,0,6.92,2.64,0,<LOD,8.68,0,86.52,6.95,0,23.27,13.77,0,36.62,9.95,0,71.8,11.89,0,<LOD,91.36,0,30874.43,235.38,0,750.82,46.29,0,52.7,6.49,0,57.38,11.15,0,1968.1,38.95,0,24.9,8.23,0,109471.76,539.8,0,19643.13,264.1,0,682.32,24.51,0,625.57,25.37,0,15.31,1.17,0,121,17.48,0,24.91,5.21,0,5.6,1.33,0,23.09,6.36,0,10.7,4.24,0,8.31,5.42,0,128.57,77.01,0,169.45,36.7,0,485531.69,1777.89,0,11.07,1.92,0,16.72,1.87,0,<LOD,80.91,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,77440.77,1775.4,0,511.69,92.61,0,248157.41,1034.76,0,<LOD,17.43,0,21272.01,5386.71,0
26,8/28/2017 18:12,TestAll Geo,300.73,ppm,2,-8mm ,H111,2.84,1.56,0,209.45,3.17,0,120.62,2.47,0,<LOD,5.36,0,154.51,3.26,0,9.18,2.06,0,31.84,3.45,0,<LOD,4.43,0,<LOD,2.55,0,11.45,2.83,0,<LOD,7.43,0,110.86,6.71,0,<LOD,16.82,0,28.6,8.29,0,68.69,10.51,0,<LOD,104.82,0,46541.96,269.87,0,464.9,38.79,0,101.18,9.67,0,125.76,17.88,0,3931.4,60.81,0,6.27,2.97,0,6385.11,106.93,0,29719.9,330.73,0,74.23,13.46,0,646.98,20.99,0,11.83,0.94,0,86.21,14.08,0,20.5,4.22,0,5.05,1.08,0,8.19,5.01,0,5.69,3.38,0,<LOD,6.51,0,<LOD,95.5,0,125.6,30.27,0,486467.47,1711.59,0,17.69,1.92,0,30.16,2.04,0,<LOD,84.98,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,104225.48,1581.12,0,442.55,73.83,0,293280.88,1068.96,0,45.02,9.22,0,25277.79,3517.94,0
77,8/29/2017 17:32,TestAll Geo,300.9,ppm,2,-8mm ,H111,2.95,1.58,0,209.48,3.24,0,150.18,2.76,0,5.68,3.7,0,161.26,3.37,0,12.46,2.17,0,26.37,3.33,0,5.26,3.09,0,<LOD,2.65,0,16.03,2.85,0,5.49,2.91,0,109.43,6.75,0,<LOD,16.7,0,35.55,8.41,0,77.02,10.62,0,<LOD,103.61,0,44454.23,265.57,0,1055.27,48.45,0,71.6,10.12,0,124.18,19.19,0,3940.59,65.72,0,<LOD,12.53,0,50358,315.19,0,26942.03,305.5,0,342.8,16.3,0,658.84,20.16,0,15.7,0.92,0,115.31,13.72,0,21.32,4.06,0,5.01,1.04,0,12.65,4.86,0,7.24,3.27,0,<LOD,6.29,0,193.67,63.83,0,181.76,30.31,0,469026.94,1742.05,0,17.93,1.97,0,28.43,2.05,0,<LOD,94.72,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,99259.33,1680.91,0,1188.93,80.84,0,272548.09,989.89,0,682.47,12.5,0,27571.52,4090.4,0
27,8/28/2017 18:24,TestAll Geo,301.77,ppm,2,-8mm ,H112,2.52,1.57,0,138.86,3.13,0,444.02,4.7,0,5.92,3.9,0,156.45,3.41,0,9.05,2.1,0,11.65,2.84,0,<LOD,4.55,0,<LOD,2.59,0,17.25,2.62,0,<LOD,7.84,0,73.6,6.21,0,<LOD,18.56,0,46.24,9.26,0,81.17,11.2,0,<LOD,100.26,0,40430.51,260.17,0,934.92,47.49,0,79.77,8.9,0,94.88,15.7,0,2983.39,54.44,0,34.57,9.89,0,94994.48,476.2,0,12244.61,222.44,0,75.2,17.17,0,652.64,23.35,0,16.05,1.07,0,129.27,16.05,0,28.91,4.79,0,5.29,1.21,0,18.8,5.75,0,12.55,3.92,0,9.39,4.98,0,116.95,70.24,0,131.45,33.3,0,474056.22,1710.73,0,12.43,1.91,0,20.04,1.97,0,<LOD,85.95,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,86541.59,1783.88,0,1294.14,93.35,0,263030.91,1032.42,0,<LOD,14.98,0,19867.33,4871.29,0
78,8/29/2017 17:43,TestAll Geo,302.25,ppm,2,-8mm ,H112,2.5,1.56,0,150.1,3.15,0,424.35,4.56,0,6.11,3.75,0,139.75,3.22,0,8.42,2.05,0,15.2,2.96,0,5.93,3.17,0,<LOD,2.67,0,20.62,2.75,0,<LOD,7.76,0,67.69,5.96,0,<LOD,17.82,0,36.93,8.83,0,99.79,11.3,0,153.47,67.87,0,41404.13,258.46,0,898.68,46.59,0,106.1,10.4,0,119.91,18.53,0,3863.96,64.85,0,34.07,11.32,0,96105.94,472.34,0,13416.62,234.11,0,287.92,18.08,0,590.55,20.9,0,14.07,0.96,0,89.31,14.25,0,19.39,4.25,0,4.21,1.08,0,9.92,5.09,0,9.49,3.49,0,<LOD,6.57,0,228.17,67.44,0,189.49,31.97,0,411861.47,1882.97,0,15.27,1.9,0,20.46,1.91,0,<LOD,93.98,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,105573.83,2072.05,0,1263.94,94.59,0,287495.78,1021.6,0,53.1,10.58,0,34265.66,5199.38,0
28,8/28/2017 18:48,TestAll Geo,301.81,ppm,2,-8mm ,H114,2.64,1.67,0,282,3.72,0,105.12,2.42,0,4.91,3.27,0,102.19,2.82,0,12.3,2.1,0,34.03,3.64,0,<LOD,4.33,0,<LOD,2.55,0,6.71,2.89,0,<LOD,8.02,0,62.86,6.01,0,<LOD,18.85,0,25.52,9.03,0,51.64,10.68,0,<LOD,49.06,0,7607.13,91.37,0,183.77,31.29,0,98.04,4.73,0,89.74,10.53,0,4865.61,38.4,0,<LOD,2.09,0,4138.4,48.12,0,14323.43,193.51,0,404.95,19.82,0,452.04,21.86,0,9.93,1.02,0,69.13,15.24,0,14.51,4.54,0,2.39,1.15,0,<LOD,8.09,0,<LOD,5.5,0,<LOD,7.02,0,<LOD,106.59,0,125.89,33.77,0,503957.56,1812.14,0,30.49,2.13,0,32.56,2.05,0,<LOD,87.49,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,124716.47,2588.34,0,648.41,87.55,0,327870.28,1337.54,0,67.79,12.19,0,<LOD,7920.68,0
79,8/29/2017 17:49,TestAll Geo,300,ppm,2,-8mm ,H114,<LOD,2.32,0,310.74,3.58,0,119.35,2.36,0,5.28,3.06,0,106.58,2.65,0,14.58,2,0,31.99,3.3,0,<LOD,3.85,0,<LOD,2.34,0,6.28,2.61,0,<LOD,3.97,0,54.59,5.2,0,<LOD,15.73,0,30.47,7.91,0,51.52,9.42,0,<LOD,45.66,0,10317.2,118.16,0,154.81,28.3,0,107.08,5.58,0,93.98,12.62,0,6284.86,46.69,0,<LOD,4.35,0,22262.55,159.58,0,12312.9,162.47,0,115.82,14.36,0,488.68,20.22,0,11.45,0.94,0,102.87,14.24,0,22.43,4.25,0,4.02,1.07,0,13.94,5.1,0,8.09,3.43,0,<LOD,6.39,0,<LOD,91.95,0,92.77,29.28,0,510579.03,1648.55,0,32.23,1.99,0,33.97,1.92,0,<LOD,83.06,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,128962.59,2095.25,0,787.82,76.89,0,304246.13,1143.93,0,<LOD,12.98,0,<LOD,5880.86,0
80,8/29/2017 18:27,TestAll Geo,300.47,ppm,2,-8mm ,H114,<LOD,2.3,0,310.3,3.55,0,116.94,2.32,0,6.41,3.05,0,105.22,2.62,0,15.71,2.01,0,32.97,3.3,0,<LOD,4.03,0,<LOD,2.33,0,4.76,2.57,0,<LOD,6.87,0,53.04,5.12,0,<LOD,15.46,0,35.19,7.93,0,45.09,9.26,0,<LOD,45.34,0,10167.38,116.45,0,138.71,27.68,0,101.94,5.61,0,98.37,12.78,0,6347.42,47.35,0,<LOD,4.46,0,22317.68,161.09,0,12435.98,165.31,0,117.78,14.42,0,494.81,20.28,0,11.8,0.95,0,106.02,14.29,0,21.22,4.25,0,5.51,1.09,0,13.46,5.1,0,11.23,3.5,0,7.81,4.44,0,<LOD,92.32,0,89.62,29.36,0,504750.66,1673.58,0,31.21,1.97,0,35.26,1.92,0,<LOD,83.11,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,130431.36,1772.01,0,788.74,76.96,0,302566.78,1138.64,0,<LOD,12.99,0,5899.32,2902.51,0
29,8/28/2017 18:55,TestAll Geo,300.1,ppm,2,-8mm ,H124,<LOD,2.28,0,301.58,3.49,0,95.22,2.12,0,5.64,2.71,0,66.95,2.16,0,11.53,1.86,0,22.49,2.93,0,<LOD,4.09,0,<LOD,2.33,0,13.04,2.51,0,<LOD,6.72,0,59.99,5.25,0,<LOD,15.34,0,42.23,7.75,0,71.56,9.43,0,67.92,39.93,0,17992.73,153.4,0,333.25,32.56,0,221.73,9.5,0,206.07,22.11,0,10993.75,226.59,0,5.58,2.84,0,8452.78,95.1,0,12701.12,182.23,0,56.91,11.49,0,648.51,17.6,0,10.97,0.79,0,62.27,11.64,0,13.32,3.48,0,2.09,0.88,0,<LOD,6.21,0,<LOD,4.13,0,<LOD,5.22,0,236.73,57.39,0,185.44,27.12,0,550893.56,1530.17,0,48.79,2.05,0,23.5,1.67,0,<LOD,75.96,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,113695.44,1444.76,0,1450.72,70.97,0,275192.91,1055.51,0,<LOD,10.04,0,6516.81,2507.04,0
81,8/29/2017 18:43,TestAll Geo,301.58,ppm,2,-8mm ,H124,4.62,2.03,0,290.48,4.53,0,87.49,2.69,0,<LOD,5.14,0,65.15,2.8,0,8.95,2.33,0,15.28,3.53,0,<LOD,5.15,0,<LOD,3.02,0,14.52,3.16,0,<LOD,8.52,0,55.09,6.78,0,<LOD,20.14,0,26,10.05,0,45.38,12.18,0,<LOD,77.09,0,17361.82,199.27,0,176.74,39.13,0,193.68,7.77,0,157.79,17.43,0,10369.4,222.03,0,<LOD,3.26,0,6201.31,73.45,0,12014.13,182.52,0,119.88,54.58,0,678.27,19.75,0,13.4,0.89,0,96.83,13.24,0,18.69,3.93,0,3.04,0.99,0,7.69,4.67,0,8.9,3.22,0,<LOD,5.97,0,133.45,61.77,0,172.95,29.4,0,622729.94,1724.72,0,44.63,2.63,0,22.86,2.17,0,<LOD,95.58,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,87579.98,1216.88,0,1220.45,67.36,0,239498.92,1211.01,0,<LOD,11.36,0,<LOD,3479.91,0
30,8/28/2017 19:02,TestAll Geo,301.37,ppm,2,-8mm ,H125,3.83,1.57,0,166.76,2.97,0,137.63,2.67,0,8.73,3.6,0,140.07,3.18,0,13.64,2.14,0,32.22,3.51,0,<LOD,4.52,0,<LOD,2.61,0,10.42,2.87,0,<LOD,7.86,0,51.75,5.56,0,<LOD,18.26,0,93.98,10.06,0,145.92,11.6,0,<LOD,62.18,0,16937.38,159.86,0,371.54,35.65,0,94.36,5.66,0,140.07,11.82,0,4255.95,41.15,0,<LOD,2.47,0,4500.42,58.79,0,19231.18,223.83,0,88.32,14.91,0,675.38,21.73,0,18.66,1,0,117.92,14.77,0,28.45,4.43,0,4.81,1.11,0,9.81,5.19,0,6.53,3.51,0,<LOD,6.63,0,406.22,72.41,0,289.4,34.26,0,572536.44,1581.15,0,23.82,2.03,0,19.39,1.94,0,<LOD,89.87,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,110859.59,1529.64,0,558.24,70.61,0,259456.86,1099.62,0,193,10.65,0,4225.7,2778.13,0
82,8/29/2017 18:49,TestAll Geo,300.86,ppm,2,-8mm ,H125,2.92,1.5,0,204.6,3.06,0,152.76,2.65,0,6.86,3.41,0,143.97,3.05,0,13.99,2.06,0,41.11,3.59,0,4.66,2.89,0,<LOD,2.46,0,12.96,2.93,0,27.92,3.58,0,64.13,5.48,0,25,10.84,0,40.48,7.83,0,72.03,9.58,0,<LOD,66.37,0,21845.27,172.03,0,247.48,31.65,0,155.09,9.84,0,278.68,21.96,0,8387.03,76.72,0,<LOD,4.81,0,9798.12,111.45,0,17957.63,224.29,0,125.83,11.92,0,518.49,17.25,0,12.7,0.8,0,68.19,11.82,0,13.17,3.52,0,2.65,0.89,0,<LOD,6.32,0,<LOD,4.22,0,<LOD,5.41,0,259.72,58.12,0,202.22,27.48,0,457681.81,1853.33,0,26.47,1.96,0,24.82,1.92,0,<LOD,86.17,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,162717.09,2006.7,0,801.43,72.45,0,308606.03,1124.73,0,<LOD,10.14,0,10942.06,2812.6,0
31,8/28/2017 19:08,TestAll Geo,301.45,ppm,2,-8mm ,H126,4.07,1.54,0,213.43,3.13,0,135.02,2.54,0,5.83,3.51,0,156.38,3.2,0,16.58,2.15,0,36.07,3.5,0,<LOD,4.33,0,<LOD,2.51,0,5.84,2.73,0,<LOD,7.21,0,68.86,5.67,0,<LOD,16.5,0,31.87,7.97,0,42.83,9.5,0,84.36,41.08,0,18021.55,158.82,0,199.92,30.57,0,115.56,7.07,0,193.04,15.48,0,6182.51,54.45,0,4.7,2.09,0,5664.73,71.75,0,15735.12,203.15,0,<LOD,78.85,0,535.04,19.47,0,15.31,0.91,0,112.66,13.64,0,19.79,4.03,0,4.51,1.03,0,15.51,4.88,0,7.66,3.27,0,<LOD,6.11,0,146.91,64,0,193.22,30.54,0,567836.25,1554.85,0,31.71,2.05,0,22.19,1.95,0,<LOD,90.14,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,112190.18,1475.29,0,665.38,66.15,0,259376.56,1083.46,0,<LOD,11.4,0,9727.68,2654.55,0
83,8/29/2017 18:55,TestAll Geo,300.87,ppm,2,-8mm ,H126,3.53,1.52,0,228.7,3.18,0,141.71,2.56,0,6.72,3.53,0,162.94,3.22,0,17.41,2.16,0,40,3.57,0,<LOD,4.09,0,<LOD,2.42,0,7.33,2.8,0,10.41,2.94,0,82.94,5.84,0,<LOD,15.59,0,40.15,7.78,0,67.59,9.47,0,<LOD,64.54,0,20843.83,169.38,0,260.38,31.72,0,149.12,9.24,0,243.15,20.79,0,8552.62,73.67,0,4.53,2.47,0,5649.37,85.02,0,16741.81,210.34,0,117.56,11.74,0,519.6,17.34,0,13.11,0.81,0,75.66,11.93,0,16.43,3.56,0,3.34,0.9,0,<LOD,6.35,0,<LOD,4.27,0,<LOD,5.39,0,196.45,57.25,0,201.15,27.22,0,473927.75,1809.7,0,32.2,2.03,0,21.89,1.93,0,<LOD,89.65,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,157813.39,1932.35,0,803.16,70.86,0,302586.66,1138.31,0,<LOD,10.53,0,11279.34,2724.91,0
32,8/28/2017 19:14,TestAll Geo,302,ppm,2,-8mm ,H127,3.7,1.51,0,288.38,3.5,0,281.37,3.42,0,6.36,3.06,0,100.11,2.53,0,11.46,1.89,0,22.33,2.91,0,<LOD,3.88,0,<LOD,2.26,0,4.34,2.29,0,7.38,2.71,0,40.99,4.73,0,<LOD,15.02,0,23.44,7.42,0,27.7,8.94,0,<LOD,69.5,0,25032.08,178.42,0,251.49,30.56,0,156.18,9,0,193.99,22.06,0,13140,265.21,0,4.07,2.57,0,6311,86.67,0,16197.4,224.51,0,103.97,13.45,0,232.56,16.87,0,<LOD,1.18,0,<LOD,17.62,0,<LOD,5.23,0,<LOD,1.33,0,<LOD,6.4,0,<LOD,4.27,0,<LOD,5.48,0,<LOD,132.73,0,<LOD,47.01,0,498663.72,1568.7,0,54.29,2.08,0,28.08,1.77,0,<LOD,77.47,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,120068.05,1616.54,0,705.48,76.81,0,314640.19,1108.28,0,<LOD,11.94,0,<LOD,4229.24,0
84,8/29/2017 19:01,TestAll Geo,301.63,ppm,2,-8mm ,H127,<LOD,2.42,0,302.06,3.84,0,307.97,3.83,0,6.5,3.13,0,78.04,2.45,0,11.98,2.06,0,31.26,3.43,0,<LOD,4.35,0,<LOD,2.52,0,12.12,2.84,0,13.92,3.22,0,77.86,6.02,0,<LOD,16.66,0,40.17,8.5,0,65.73,10.3,0,<LOD,85.7,0,32521.46,220.29,0,572.45,39.89,0,165.13,8.87,0,174.86,21.27,0,12388.78,258.39,0,<LOD,4,0,7205.96,89.32,0,10747.88,188.49,0,331.81,15,0,706.6,21.02,0,15.47,0.95,0,120.41,14.2,0,26.46,4.23,0,4.79,1.07,0,14.38,5.04,0,9.18,3.42,0,<LOD,6.3,0,107.98,64.7,0,190.38,30.98,0,572497.31,1504.78,0,52.4,2.22,0,31.37,1.9,0,<LOD,82.73,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,103103.42,1411.51,0,948.71,69.34,0,250511.06,1032.4,0,162.15,9.5,0,5911.07,2743.71,0
33,8/28/2017 19:21,TestAll Geo,301.81,ppm,2,-8mm ,H138,<LOD,2.26,0,133.2,2.93,0,319.37,3.97,0,4.82,3.14,0,76.21,2.47,0,6.44,1.89,0,20.67,3.11,0,<LOD,4.57,0,<LOD,2.6,0,9.7,2.6,0,<LOD,7.73,0,61.86,5.79,0,<LOD,17.46,0,25.77,8.59,0,66.7,10.65,0,<LOD,80.19,0,27194.6,205.56,0,618.15,40.72,0,122.73,24.15,0,62.46,13.2,0,1941.55,46.42,0,57.96,12.43,0,143602.75,619.26,0,18825.47,253.28,0,274.08,20.09,0,574.99,21.97,0,15.73,1.02,0,110.81,15.23,0,22.25,4.53,0,4.56,1.15,0,19.54,5.52,0,6.91,3.64,0,<LOD,7.02,0,122.89,68.22,0,147.73,32.42,0,492007.56,1672.9,0,9.26,1.77,0,17.16,1.69,0,<LOD,75.33,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,70496.4,1720.61,0,885.72,88.52,0,210505.73,933.45,0,<LOD,16.03,0,30829.29,5745.06,0
34,8/28/2017 19:28,TestAll Geo,302.34,ppm,2,-8mm ,H139,4.13,1.58,0,357.05,3.76,0,70.38,1.87,0,5.51,2.63,0,58.16,2.05,0,10.96,1.85,0,21.52,2.91,0,<LOD,4.11,0,<LOD,2.29,0,15,2.55,0,13.58,3.08,0,35.92,4.65,0,<LOD,14.97,0,27.43,7.42,0,44.74,9.11,0,<LOD,64.14,0,20694.49,165.58,0,159.37,29.07,0,43.74,7.33,0,115.53,16.35,0,5896.68,58.85,0,<LOD,2.81,0,3490.89,63.22,0,8024.35,113.29,0,37.05,10.04,0,525.82,17.68,0,14.38,0.83,0,94.96,12.29,0,21.87,3.68,0,4.35,0.93,0,15.9,4.45,0,7.96,2.98,0,<LOD,5.65,0,108.2,56.91,0,160.7,27.1,0,550646.44,1544.59,0,17.53,1.78,0,16.49,1.57,0,<LOD,75.16,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,120129.88,1350.63,0,220.73,60.02,0,286296.25,1078.29,0,<LOD,8.97,0,<LOD,3169.8,0
87,8/29/2017 19:22,TestAll Geo,302.15,ppm,2,-8mm ,H139,2.7,1.53,0,329.73,3.56,0,75.32,1.89,0,5.84,2.59,0,58.03,2.01,0,10.52,1.81,0,23.33,2.92,0,4.25,2.73,0,<LOD,2.28,0,11.99,2.48,0,9.54,2.86,0,38.76,4.63,0,<LOD,14.65,0,22.03,7.27,0,43.82,9,0,<LOD,64.03,0,21704.32,166.25,0,95.15,27.25,0,37.08,6.78,0,113.31,15.14,0,5653.73,54.62,0,<LOD,2.82,0,3933.65,62.98,0,7808.22,106.65,0,46.89,11.36,0,415.25,17.53,0,10.28,0.83,0,75.21,12.39,0,16.19,3.7,0,2.88,0.93,0,<LOD,6.59,0,<LOD,4.39,0,<LOD,5.7,0,<LOD,84.98,0,107.61,27.14,0,533170.88,1549.05,0,17.8,1.74,0,16.11,1.53,0,<LOD,73.68,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,119827.72,1448.47,0,290.82,66.73,0,301114.13,1098.11,0,<LOD,10.72,0,<LOD,3552.73,0
