Reading No,Time,Type,Duration,Units,Sigma Value,Flags,Sample,Mo,Mo Error,Mo CPS/ua,Zr,Zr Error,Zr CPS/ua,Sr,Sr Error,Sr CPS/ua,U,U Error,U CPS/ua,Rb,Rb Error,Rb CPS/ua,Th,Th Error,Th CPS/ua,Pb,Pb Error,Pb CPS/ua,Au,Au Error,Au CPS/ua,Se,Se Error,Se CPS/ua,As,As Error,As CPS/ua,Hg,Hg Error,Hg CPS/ua,Zn,Zn Error,Zn CPS/ua,W,W Error,W CPS/ua,Cu,Cu Error,Cu CPS/ua,Ni,Ni Error,Ni CPS/ua,Co,Co Error,Co CPS/ua,Fe,Fe Error,Fe CPS/ua,Mn,Mn Error,Mn CPS/ua,Cr,Cr Error,Cr CPS/ua,V,V Error,V CPS/ua,Ti,Ti Error,Ti CPS/ua,Sc,Sc Error,Sc CPS/ua,Ca,Ca Error,Ca CPS/ua,K,K Error,K CPS/ua,S,S Error,S CPS/ua,Ba,Ba Error,Ba CPS/ua,Cs,Cs Error,Cs CPS/ua,Te,Te Error,Te CPS/ua,Sb,Sb Error,Sb CPS/ua,Sn,Sn Error,Sn CPS/ua,Cd,Cd Error,Cd CPS/ua,Ag,Ag Error,Ag CPS/ua,Pd,Pd Error,Pd CPS/ua,Ce,Ce Error,Ce CPS/ua,La,La Error,La CPS/ua,Bal,Bal Error,Bal CPS/ua,Nb,Nb Error,Nb CPS/ua,Y,Y Error,Y CPS/ua,Bi,Bi Error,Bi CPS/ua,Re,Re Error,Re CPS/ua,Ta,Ta Error,Ta CPS/ua,Hf,Hf Error,Hf CPS/ua,Al,Al Error,Al CPS/ua,P,P Error,P CPS/ua,Si,Si Error,Si CPS/ua,Cl,Cl Error,Cl CPS/ua,Mg,Mg Error,Mg CPS/ua
18,8/28/2017 15:59,TestAll Geo,301.28,ppm,2,-8mm ,H079,<LOD,2.26,0,224.2,3.11,0,69.67,1.89,0,5.72,3,0,95.41,2.55,0,6.17,1.82,0,26.66,3.14,0,<LOD,4.22,0,<LOD,2.41,0,16.19,2.72,0,8.39,2.91,0,106.63,6.43,0,<LOD,15.86,0,84.69,8.84,0,57.6,9.66,0,<LOD,92.55,0,40091.25,237.5,0,731.14,41.33,0,76.02,10.18,0,130.03,18.42,0,3430.08,60.95,0,<LOD,4.6,0,6497.84,110.54,0,23347.8,280.47,0,29.06,11.53,0,564.21,18.1,0,11.8,0.83,0,77.11,12.33,0,15.72,3.67,0,2.9,0.93,0,6.58,4.38,0,<LOD,4.41,0,<LOD,5.56,0,142.08,59.04,0,160.18,28.04,0,556688.75,1440.92,0,16.44,1.78,0,20.11,1.71,0,<LOD,75.08,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,82609.58,1185.96,0,2127.08,74.09,0,273760.16,1006.68,0,<LOD,10.24,0,9337.68,2735.93,0
69,8/29/2017 16:05,TestAll Geo,301.82,ppm,2,-8mm ,H079,3.17,1.43,0,141.25,2.55,0,63.81,1.79,0,<LOD,4.26,0,94.3,2.48,0,8.33,1.81,0,19.73,2.85,0,<LOD,3.99,0,<LOD,2.3,0,13.14,2.46,0,9.06,4.59,0,79.02,5.82,0,<LOD,15.03,0,280.98,11.78,0,40.06,9.18,0,101.06,52.58,0,30499.78,202.01,0,690.65,39.34,0,61.97,8.92,0,84.28,13.52,0,1840.25,42.78,0,<LOD,3.19,0,3581.88,74.63,0,12365.51,196.69,0,86.13,11.82,0,373.99,16.43,0,3.77,0.76,0,<LOD,16.78,0,<LOD,4.95,0,<LOD,1.25,0,<LOD,6.02,0,<LOD,3.91,0,<LOD,5.14,0,<LOD,85.54,0,154.2,27.21,0,775893.5,817.62,0,15.78,1.77,0,18.33,1.67,0,<LOD,76.05,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,36747.03,645.36,0,839.65,50.15,0,135646.19,695.63,0,<LOD,10.72,0,<LOD,3506.95,0
19,8/28/2017 16:15,TestAll Geo,300.73,ppm,2,-8mm ,H087,2.91,1.58,0,203.88,3.2,0,125.53,2.56,0,<LOD,5.24,0,147.49,3.24,0,8.34,2.09,0,34.39,3.59,0,<LOD,4.42,0,<LOD,2.53,0,12,2.95,0,<LOD,7.55,0,128.19,7.24,0,<LOD,17.63,0,34.52,8.84,0,43.49,10.66,0,<LOD,114.09,0,51940.27,290.8,0,1081.19,49.26,0,71.01,8.56,0,111.96,16.21,0,3375.61,54.97,0,<LOD,7.39,0,27775.75,238.45,0,32149.06,346.16,0,250.94,17.31,0,300.73,20.51,0,1.45,0.96,0,22.83,14.45,0,<LOD,6.48,0,<LOD,1.65,0,<LOD,7.85,0,8.9,3.64,0,<LOD,6.72,0,<LOD,100.98,0,<LOD,44.06,0,492924.91,1689.57,0,16.87,1.95,0,29.04,2.04,0,<LOD,94.05,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,91877.06,1631.66,0,2892.67,90.94,0,269142.81,1028.01,0,69.75,10.82,0,23959.94,4188.52,0
70,8/29/2017 16:17,TestAll Geo,300.47,ppm,2,-8mm ,H087,<LOD,2.35,0,223.45,3.32,0,152.57,2.78,0,<LOD,5.26,0,139.14,3.14,0,10.97,2.13,0,32.59,3.5,0,<LOD,4.42,0,<LOD,2.49,0,12.94,2.91,0,<LOD,7.28,0,117.02,6.91,0,<LOD,16.95,0,48.9,8.96,0,102.8,11.22,0,146.15,72.03,0,47540.98,274.84,0,913.9,46.47,0,87.44,9.33,0,131.4,17.45,0,3585.22,58.79,0,11.99,5.35,0,26506.39,230.31,0,31611.91,338.53,0,122.35,15.02,0,654.7,21.66,0,12.18,0.97,0,99.6,14.62,0,22.18,4.37,0,4.03,1.11,0,16.05,5.28,0,13.26,3.64,0,<LOD,6.68,0,<LOD,96.66,0,97.91,30.67,0,407293.22,1911.48,0,15.99,1.93,0,28.07,2,0,<LOD,86.96,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,125169.8,2019.66,0,1099.53,87.21,0,324571.31,1085.93,0,<LOD,13.59,0,28656.57,4183.3,0
20,8/28/2017 16:30,TestAll Geo,301.02,ppm,2,-8mm ,H088,3.46,1.47,0,197.52,2.87,0,94.8,2.08,0,<LOD,5.91,0,257.5,3.85,0,10.24,1.97,0,20.83,2.9,0,<LOD,3.96,0,<LOD,2.27,0,14.97,2.5,0,11.73,4.64,0,62.18,5.23,0,<LOD,15.13,0,27.16,7.56,0,58.78,9.36,0,<LOD,67.98,0,24060.99,176.32,0,200.23,29.23,0,75.26,7.79,0,104.5,14.9,0,3683.94,50.98,0,<LOD,4.29,0,10207.61,136.62,0,30218.2,299.66,0,137.1,14.4,0,354.02,18.6,0,10.65,0.89,0,39.18,13.07,0,9,3.92,0,2.15,1,0,<LOD,7.1,0,<LOD,4.78,0,<LOD,6.14,0,<LOD,85.22,0,<LOD,40.92,0,489938.94,1588.72,0,15.84,1.84,0,26.7,2.09,0,<LOD,86.26,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,103144.24,1539.45,0,719.81,79.64,0,321681.38,1117.64,0,60.32,9.61,0,13797.87,3196.63,0
71,8/29/2017 16:30,TestAll Geo,301.4,ppm,2,-8mm ,H088,<LOD,2.23,0,194.75,2.93,0,95.88,2.14,0,7.27,4.08,0,256.32,3.94,0,10.26,2.01,0,22.24,3.01,0,<LOD,4.13,0,<LOD,2.33,0,14.22,2.57,0,8.77,4.61,0,63.46,5.36,0,<LOD,15.05,0,31.87,7.69,0,38.22,9.2,0,70.18,46.65,0,24307.14,180.87,0,152.38,29.16,0,82.67,8.22,0,101.81,15.68,0,4146.67,54.35,0,<LOD,3.65,0,5697.2,90.41,0,30242.38,298.57,0,131,13.98,0,448.13,18.75,0,14.78,0.89,0,58.48,13.01,0,12.47,3.89,0,2.61,0.99,0,9.21,4.71,0,6.06,3.18,0,<LOD,6.12,0,<LOD,85.7,0,80.76,27.24,0,426809,1750.81,0,16.15,1.88,0,26.3,2.13,0,<LOD,88.23,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,113661.32,1694.83,0,516.68,85.93,0,376013.84,1226.33,0,<LOD,20.46,0,16092.86,3317.05,0
21,8/28/2017 16:44,TestAll Geo,301.89,ppm,2,-8mm ,H089,3.58,1.77,0,233.66,3.67,0,127.47,2.8,0,8.67,4.36,0,201.31,4.07,0,11.16,2.33,0,30.61,3.79,0,<LOD,4.67,0,<LOD,2.77,0,10.8,3.11,0,<LOD,8.39,0,95.39,7.2,0,<LOD,20.12,0,34.55,10.17,0,46.15,11.76,0,<LOD,83.97,0,26206,217.79,0,180.71,34.84,0,62.34,5.09,0,64.52,9.35,0,2036.48,31.57,0,<LOD,3.46,0,17334.86,179.8,0,27884.22,306.9,0,214.86,20.32,0,683.1,26.52,0,13.09,1.19,0,103.08,17.83,0,22.43,5.32,0,4.86,1.35,0,17.13,6.44,0,8.64,4.31,0,<LOD,7.96,0,<LOD,111.74,0,54.89,35.63,0,552187.06,1646.36,0,18.99,2.19,0,27.51,2.36,0,<LOD,99.93,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,84826.8,1939.82,0,1441.8,90.75,0,283207.53,1204.74,0,559.31,15.17,0,<LOD,8639.42,0
72,8/29/2017 16:38,TestAll Geo,301.33,ppm,2,-8mm ,H089,<LOD,2.31,0,264.29,3.37,0,145.87,2.59,0,14.37,3.95,0,210.73,3.63,0,12.88,2.1,0,38.95,3.55,0,<LOD,4.15,0,<LOD,2.45,0,17.9,2.99,0,6.29,2.84,0,111.17,6.53,0,<LOD,17.05,0,220.68,11.45,0,219.72,11.81,0,93.78,49.52,0,26596.17,190.82,0,233.15,31.43,0,80.99,7.38,0,107.86,15.01,0,3719.88,51.13,0,<LOD,5.56,0,19779.5,177.69,0,29248.02,288.71,0,665.21,19.04,0,664.24,21.44,0,9.65,0.95,0,75.46,14.23,0,18.62,4.28,0,4.79,1.1,0,14.53,5.18,0,7.6,3.47,0,9.83,4.54,0,<LOD,90.75,0,68.12,29.06,0,434098.81,1812.56,0,21.26,1.94,0,26.63,2.07,0,<LOD,88.79,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,130331.86,1983.4,0,2321.57,91.15,0,326159.56,1119.7,0,759.65,13.23,0,22616.67,3713.92,0
22,8/28/2017 17:17,TestAll Geo,301.71,ppm,2,-8mm ,H092,3.34,1.62,0,224.8,3.41,0,166.27,2.95,0,<LOD,5.23,0,132.84,3.14,0,8.9,2.05,0,31,3.52,0,<LOD,4.37,0,<LOD,2.56,0,12.91,2.94,0,<LOD,7.82,0,101.94,6.81,0,<LOD,18.17,0,36.58,9.13,0,63.08,10.88,0,<LOD,80.2,0,26988.25,205.49,0,456.7,37.9,0,56.47,6.23,0,73.65,12.12,0,3153.16,42.75,0,15.85,4.54,0,39620.24,271.26,0,25498.88,285.08,0,258.84,66.12,0,369.14,21.6,0,6.05,1.02,0,58.49,15.28,0,10.91,4.56,0,2.68,1.16,0,9.96,5.55,0,8.32,3.77,0,9.19,4.89,0,<LOD,97.4,0,<LOD,47.08,0,444958.75,1890.84,0,15.82,1.94,0,25.22,1.99,0,<LOD,85.08,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,106885.62,1884.16,0,1218.64,91.23,0,316118.47,1131.97,0,<LOD,15.36,0,31878,4331.98,0
73,8/29/2017 16:45,TestAll Geo,300.07,ppm,2,-8mm ,H092,<LOD,2.39,0,237.19,3.45,0,170.19,2.96,0,<LOD,5.27,0,131.13,3.11,0,10.26,2.08,0,34.55,3.61,0,6.96,3.2,0,<LOD,2.66,0,11.87,2.97,0,<LOD,7.86,0,109.7,6.89,0,<LOD,17.79,0,44.83,9.07,0,102.82,11.14,0,<LOD,76.17,0,24956.53,194.32,0,476.65,38.61,0,52.75,5.66,0,77.18,11.17,0,3067.14,39.17,0,8.51,3.78,0,28852.36,206.6,0,22585.99,241.18,0,48.88,14.51,0,1000.36,25,0,31.18,1.13,0,240.96,16.94,0,54.85,5.05,0,10.97,1.28,0,29.81,5.92,0,17.99,4.06,0,12.87,5.12,0,383.6,74.09,0,261.68,35.03,0,490617.53,1793.92,0,15.48,1.93,0,24.67,1.98,0,<LOD,86.28,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,96321.42,1581.34,0,863.77,79.34,0,293578.13,1109,0,85.51,9.98,0,34492.34,3787.18,0
