"","Sample","Si","Ti","Al","Fe","Mn","Mg","Ca","K","P","S","Cl","Sc","V","Cr","Co","Ni","Cu","Zn","As","Se","Rb","Sr","Y","Zr","Nb","Mo","Pd","Ag","Cd","Sn","Sb","Te","Cs","Ba","La","Ce","Hf","Ta","W","Re","Au","Hg","Pb","Bi","Th","U","Si.WDXRF","Ti.WDXRF","Al.WDXRF","Fe.WDXRF","Mn.WDXRF","Mg.WDXRF","Ca.WDXRF","K.WDXRF","P.WDXRF","S.WDXRF","V.WDXRF","Cr.WDXRF","Ni.WDXRF","Cu.WDXRF","Zn.WDXRF","Rb.WDXRF","Sr.WDXRF","Y.WDXRF","Zr.WDXRF","Nb.WDXRF","Ba.WDXRF","Ce.WDXRF","Pb.WDXRF","Th.WDXRF"
"21","H102",246139,2257,75155,30694,741,22137,109079,19497,464,718,0,36,70,60,0,77,42,86,8,0,99,341,16,108,10,0,8,9,20,5,25,122,17,662,187,184,0,0,12,0,0,0,17,0,7,6,225307,3537,67902,35175,968,16644,120354,19758,698,1750,104,117,73,39,84,109,344,25,113,12,413,45,20,17
"22","H111",282914,3936,101742,45498,760,26425,28372,28331,816,209,364,3,125,86,0,73,32,110,14,0,158,135,29,209,18,3,0,6,10,5,21,101,14,653,154,97,0,0,0,0,3,3,29,0,11,3,288973,4676,96322,53776,1293,17789,7790,31961,742,95,135,124,69,20,120,179,116,40,214,20,412,81,36,21
"23","H112",275263,3424,96058,40917,917,27066,95550,12831,1279,182,27,34,107,93,77,90,42,71,19,0,148,434,20,144,14,3,5,11,14,5,24,109,15,622,160,173,0,0,0,0,3,0,13,0,9,6,233815,4017,76952,40699,1007,18453,115066,12286,1353,467,126,148,88,27,72,158,431,29,133,14,402,48,11,18
"24","H114",311561,5833,128037,9364,159,1966,16240,13024,742,213,23,0,94,102,0,49,30,57,6,0,105,114,34,301,31,1,3,6,9,4,19,93,11,479,103,0,0,0,0,0,0,0,33,0,14,6,328519,9832,134321,5664,124,2412,3359,13781,393,51,103,188,50,20,36,108,105,39,292,31,277,97,33,25
"25","H124",257346,10682,100638,17677,255,3258,7327,12358,1336,88,0,3,182,208,34,58,34,58,14,0,66,91,23,296,47,2,0,4,4,3,16,80,12,663,179,185,0,0,0,0,0,0,19,0,10,3,307016,11031,118656,19580,379,2231,9934,13448,1615,78,146,307,74,40,77,76,111,26,321,50,590,110,26,20
"26","H125",284031,6321,136788,19391,310,7584,7149,18594,680,107,96,0,209,125,0,109,67,58,12,0,142,145,22,186,25,3,0,3,5,4,21,93,16,597,246,333,0,0,12,0,2,14,37,0,14,8,291030,7374,131358,22448,186,7478,8433,21501,524,95,213,177,39,35,58,164,145,29,199,27,297,76,39,22
"27","H126",280982,7368,135002,19433,230,10504,5657,16238,734,59,0,5,218,132,42,55,36,76,7,0,160,138,22,221,32,4,0,4,8,4,18,94,14,527,197,172,0,0,0,0,0,5,38,0,17,6,289581,8453,144324,21049,178,6935,5217,18512,524,67,207,203,42,28,82,170,144,29,221,33,284,76,42,25
"28","H127",282576,12764,111586,28777,412,2956,6758,13473,827,218,81,2,184,161,0,47,32,59,8,0,89,295,30,295,53,2,0,5,7,2,13,60,8,470,95,54,0,0,0,0,0,11,27,0,12,6,305474,12110,120561,28252,658,3558,8362,15026,611,143,159,216,66,21,56,100,250,32,289,57,470,103,25,21
"29","H138",210506,1942,70496,27195,618,30829,143603,18825,886,274,0,58,62,123,0,67,26,62,10,0,76,319,17,133,9,0,0,7,20,5,22,111,16,575,148,123,0,0,0,0,0,0,21,0,6,5,179685,3237,60545,35245,2145,23518,165237,16603,1397,615,87,83,43,16,72,92,360,28,146,12,398,51,25,16
"30","H139",293705,5775,119979,21199,127,0,3712,7916,256,42,0,0,114,40,0,44,25,37,13,0,58,73,16,343,18,3,0,4,8,4,19,85,12,471,134,54,0,0,0,0,2,12,22,0,11,6,335063,6415,117968,22657,85,3075,3502,10128,349,49,93,85,20,12,39,64,72,21,374,19,252,37,23,19
